"filename", "language", "XML", "Lua", "Batch", "comment", "blank", "total"
"i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\weapons\powersword_p1_m1.lua", "Lua", 0, 27, 0, 8, 4, 39
"i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\weapons\powersword_p2_m1.lua", "Lua", 0, 27, 0, 8, 4, 39
"i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\weapons\shotgun_p1_m1.lua", "Lua", 0, 31, 0, 8, 4, 43
"i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\weapons\shotgun_p2_m1.lua", "Lua", 0, 33, 0, 8, 4, 45
"i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\weapons\shotgun_p4_m1.lua", "Lua", 0, 37, 0, 8, 4, 49
"i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\weapons\shotpistol_shield_p1_m1.lua", "Lua", 0, 43, 0, 10, 6, 59
"i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\weapons\stubrevolver_p1_m1.lua", "Lua", 0, 39, 0, 8, 4, 51
"i:\Darktide\darktide-mods\visible_equipment\scripts\mods\ve\weapons\thunderhammer_2h_p1_m1.lua", "Lua", 0, 157, 0, 8, 3, 168
"i:\Darktide\darktide-mods\visible_equipment\visible_equipment.mod", "XML", 22, 0, 0, 0, 2, 24
"Total", "-", 22, 15475, 1, 1538, 1031, 18067
