"filename", "language", "XML", "Lua", "Batch", "comment", "blank", "total"
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\emblem_right.lua", "Lua", 0, 138, 0, 8, 5, 151
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\flashlight.lua", "Lua", 0, 65, 0, 8, 7, 80
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\flashlight_human.lua", "Lua", 0, 34, 0, 11, 7, 52
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\flashlight_modded_human.lua", "Lua", 0, 15, 0, 11, 7, 33
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\flashlight_modded_ogryn.lua", "Lua", 0, 15, 0, 11, 7, 33
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\flashlight_ogryn.lua", "Lua", 0, 25, 0, 11, 7, 43
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\grip_2h_force_sword.lua", "Lua", 0, 40, 0, 8, 5, 53
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\grip_2h_power_sword.lua", "Lua", 0, 25, 0, 8, 5, 38
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\grip_autogun.lua", "Lua", 0, 12, 0, 11, 7, 30
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\grip_autogun_braced.lua", "Lua", 0, 38, 0, 8, 5, 51
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\grip_autogun_headhunter.lua", "Lua", 0, 18, 0, 8, 5, 31
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\grip_autogun_infantry.lua", "Lua", 0, 28, 0, 8, 5, 41
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\grip_axe.lua", "Lua", 0, 38, 0, 8, 5, 51
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\grip_combat_sword.lua", "Lua", 0, 44, 0, 8, 5, 57
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\grip_common.lua", "Lua", 0, 33, 0, 8, 5, 46
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\grip_falchion.lua", "Lua", 0, 44, 0, 8, 5, 57
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\grip_force_sword.lua", "Lua", 0, 38, 0, 8, 5, 51
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\grip_hatchet.lua", "Lua", 0, 38, 0, 8, 5, 51
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\grip_lasgun.lua", "Lua", 0, 43, 0, 12, 5, 60
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\grip_power_sword.lua", "Lua", 0, 43, 0, 8, 5, 56
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\grip_sabre.lua", "Lua", 0, 54, 0, 8, 5, 67
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\grip_shovel.lua", "Lua", 0, 39, 0, 8, 5, 52
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\hilt_2h_force_sword.lua", "Lua", 0, 40, 0, 8, 5, 53
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\hilt_2h_power_sword.lua", "Lua", 0, 30, 0, 8, 5, 43
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\hilt_force_sword.lua", "Lua", 0, 48, 0, 8, 5, 61
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\hilt_power_sword.lua", "Lua", 0, 13, 0, 8, 5, 26
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\laser_pointer.lua", "Lua", 0, 321, 0, 101, 58, 480
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\laser_pointer_human.lua", "Lua", 0, 288, 0, 12, 7, 307
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\laser_pointer_ogryn.lua", "Lua", 0, 147, 0, 11, 7, 165
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\magazine_autogun.lua", "Lua", 0, 13, 0, 11, 7, 31
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\magazine_autogun_braced.lua", "Lua", 0, 13, 0, 8, 5, 26
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\magazine_autogun_double.lua", "Lua", 0, 28, 0, 8, 5, 41
